Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
3/11/2011,34,31,32.5,-5.1,32,0,0.28,3.1,3
3/12/2011,59,30,44.5,6.5,20,0,0,0,3
3/13/2011,42,35,38.5,0.2,26,0,T,T,0
3/14/2011,45,33,39,0.3,26,0,T,T,0
3/15/2011,46,32,39,-0.1,26,0,0.19,0,0
3/16/2011,45,39,42,2.5,23,0,T,0,0
3/17/2011,62,37,49.5,9.7,15,0,0,0,0
3/18/2011,71,47,59,18.8,6,0,T,0,0
3/19/2011,50,34,42,1.4,23,0,0,0,0
3/20/2011,61,30,45.5,4.5,19,0,T,0,0
3/21/2011,73,45,59,17.6,6,0,0.08,0,0
3/22/2011,49,39,44,2.2,21,0,0.05,0,0
3/23/2011,69,38,53.5,11.3,11,0,0.97,T,0
3/24/2011,40,24,32,-10.5,33,0,0.02,0.1,0
3/25/2011,36,20,28,-14.9,37,0,0,0,0
3/26/2011,36,19,27.5,-15.8,37,0,0,0,0
3/27/2011,39,23,31,-12.7,34,0,0,0,0
3/28/2011,40,20,30,-14.1,35,0,0,0,0
3/29/2011,45,18,31.5,-13,33,0,0,0,0
3/30/2011,43,29,36,-8.9,29,0,0.27,0.6,0
3/31/2011,36,32,34,-11.3,31,0,0.04,T,0
4/1/2011,45,32,38.5,-7.2,26,0,0.12,0.4,0
4/2/2011,48,33,40.5,-5.6,24,0,0.11,0.4,0
4/3/2011,55,31,43,-3.5,22,0,0.01,0,0
4/4/2011,71,45,58,11.1,7,0,0.79,0,0
4/5/2011,45,34,39.5,-7.8,25,0,0.22,T,0
4/6/2011,61,33,47,-0.7,18,0,T,T,0
4/7/2011,63,43,53,5,12,0,0,0,0
4/8/2011,51,42,46.5,-1.9,18,0,0.4,0,0
4/9/2011,58,42,50,1.2,15,0,0,0,0
4/10/2011,82,47,64.5,15.3,0,0,0,0,0
4/11/2011,76,54,65,15.5,0,0,0.05,0,0
4/12/2011,55,45,50,0.1,15,0,0.83,0,0
4/13/2011,57,40,48.5,-1.7,16,0,0.13,0,0
